country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,66.4,,,,,76.8,90.1,88.1,102,81.1,88.9,90.7,115
Romania,,,,,,,,,,,,,,,,,,,,,,,,0.855,0.873,0.977,2.73,5.4,5.89,14.6,16.1,20.7,17.6,7.07,7.51,8.35,7.28,,12.9,11.2,10.4,9.75,11.2,8.57,10.4,10.1
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,62.4,38.3,37.4,33.6,18.7,28.8,48.7,39.6,34.8,46.7,46.5
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,66.9,50.1,50.3,62,63,62.9,67.4,63.1,58.6,287,331
Singapore,,,,,146,205,246,72.9,87.3,62,57.8,89.4,85.5,94.6,118,94.8,105,93.9,219,182,169,156,104,111,224,159,129,110,152,189,201,259,298,137,248,270,214,259,242,239,208,201,229,182,185,187
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,12.5,25.3,48.8,68.6,29.4,31.6,9.94,8.23,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,15.9,14.6,4.65,4.33,4.91,2.18,1.51,1.49,1.77,2.63,2.76,4.19,3.91,8.24,7.98,5.33,5.7,4.57,5.44,5.7,5.68,5.3,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,9.03,13.5,12.6,15.3,16.6,23.7,24.1,28.1,21.8,38.5,60,21.2,24,19.6,12.3,13.9,14.7,15,14,11.8,13,13.4,14.6,15.7
Sweden,2.65,2.91,8.05,9.79,8.65,9.09,13.3,16.3,28.8,23.5,32.7,42.1,38.5,48.2,54.7,35.1,35.4,27.5,47.2,52.1,64.6,82.4,98.7,103,136,125,97.6,67.1,86.7,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,,,23.9,19.9,29.4,7.54,5.39,6.13,4.2,8.24,10.3,7.84,8.02,6.18,6,6.75,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,
Thailand,,,,,,,,,,,,,,,32,24,38.8,51.4,99.4,86.6,82.9,52.8,15.2,30.1,45.1,23.1,29.9,33.9,78.2,66.7,65.4,63.2,75,35.4,62.8,81.4,72.4,98,84.3,106,86.9,105,120,98.8,105,109
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,44.1,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,22.3,19.2,10.8,9.97,,,,,,,,,,,,23.1,20.1,,17.7,17.4,19.3,19,21.2,19.5,20.3,20.2
